id,gsm_out,lte,nr_dss,nr_nsa_sa,nr_gesamt
100mN58747E4932,3,3,2,3,3
100mN58747E4933,3,3,2,3,3
100mN58747E4934,3,3,2,3,3
100mN58747E4935,3,3,2,3,3
100mN58747E4936,3,3,2,3,3
100mN58747E4937,3,3,2,3,3
100mN58747E4938,3,3,2,3,3
100mN58747E4939,3,3,2,3,3
100mN58747E4940,3,3,2,3,3
100mN58747E4941,3,3,2,3,3
100mN58747E4942,3,3,2,3,3
100mN58747E4943,3,3,2,3,3
100mN58747E4944,3,3,2,3,3
100mN58747E4945,3,3,2,3,3
100mN58747E4946,3,3,2,3,3
100mN58747E4947,3,3,2,3,3
100mN58747E4948,3,3,2,3,3
100mN58747E4949,3,3,2,3,3
100mN58747E4950,3,3,2,3,3
100mN58747E4951,3,3,2,3,3
100mN58747E4952,3,3,2,3,3
100mN58747E4953,3,3,2,3,3
100mN58747E4954,3,3,2,3,3
100mN58747E4955,3,3,2,3,3
100mN58747E4956,3,3,2,3,3
100mN58747E4957,3,3,2,3,3
100mN58748E4878,3,3,2,3,3
100mN58748E4879,3,3,2,3,3
100mN58748E4880,3,3,2,3,3
100mN58748E4881,3,3,2,3,3
100mN58748E4882,3,3,2,3,3
100mN58748E4883,3,3,2,3,3
100mN58748E4884,3,3,2,3,3
100mN58748E4885,3,3,2,3,3
100mN58748E4886,3,3,2,3,3
100mN58748E4887,3,3,2,3,3
100mN58748E4888,3,3,2,3,3
100mN58748E4889,3,3,2,3,3
100mN58748E4890,3,3,2,3,3
100mN58748E4891,3,3,2,3,3
100mN58748E4892,3,3,2,3,3
100mN58748E4893,3,3,2,3,3
100mN58748E4894,3,3,2,3,3
100mN58748E4895,3,3,2,3,3
100mN58748E4896,3,3,2,3,3
100mN58748E4897,3,3,2,3,3
100mN58748E4899,3,3,2,3,3
100mN58748E4900,3,3,2,3,3
100mN58748E4901,3,3,2,3,3
100mN58748E4902,3,3,2,3,3
100mN58748E4903,3,3,2,3,3
100mN58748E4904,3,3,1,3,3
100mN58748E4905,3,3,1,3,3
100mN58748E4906,3,3,2,3,3
100mN58748E4907,3,3,2,3,3
100mN58748E4908,3,3,2,3,3
100mN58748E4909,3,3,2,3,3
100mN58748E4910,3,3,2,3,3
100mN58748E4923,3,3,2,3,3
100mN58748E4924,3,3,2,3,3
100mN58748E4925,3,3,2,3,3
100mN58748E4926,3,3,2,3,3
100mN58748E4927,3,3,2,3,3
100mN58748E4928,3,3,2,3,3
100mN58748E4929,3,3,2,3,3
100mN58748E4930,3,3,2,3,3
100mN58748E4931,3,3,2,3,3
100mN58748E4932,3,3,2,3,3
100mN58748E4933,3,3,2,3,3
100mN58748E4934,3,3,2,3,3
100mN58748E4935,3,3,2,3,3
100mN58748E4936,3,3,2,3,3
100mN58748E4937,3,3,2,3,3
